Colin Potts
Concettina Guerra
Constantine Dovrolis
Dana Randall
David A. Bader
Edmond Chow
Edward Omiecinski
Elizabeth Mynatt
Ellen Do
Ellen Zegura
Eric Gilbert
Eric Vigoda
Frank Dellaert
Greg Turk
Gregory Abowd
H. Venkateswaran
Hadi Esmaeilzadeh
Haesun Park
Henrik Christensen
Hongyuan Zha
Hyesoon Kim
Irfan Essa
Jack Poulson
Jacob Eisenstein
James Foley
James Rehg
Janet Kolodner
Jarek Rossignac
Jimeng Sun
John Stasko
Jun Xu
Karen Liu
Karsten Schwan
Keith Edwards
Lance Fortnow
Lauren Wilcox
Le Song
Leo Mark
Ling Liu
Maria Balcan
Mark Guzdial
Mark Riedl
Mayur Naik
Melody Jackson
Merrick Furst
Michael Best
Mike Stilman
Milena Mihail
Milos Prvulovic
Mostafa Ammar
Munmun De Choudhury
Mustaque Ahamad
Nancy Nersessian
Nick Feamster
Polo Chau
Prasad Tetali
Rahul Basole
Richard DeMillo
Richard Fujimoto
Richard Lipton
Richard Vuduc
Ronald Arkin
Santosh Pande
Santosh Vempala
Seymour Goodman
Shamkant Navathe
Srinivas Aluru
Taesoo Kim
Taesoo Kim
Thad Starner
Thomas Conte
Tucker Balch
Umakishore Ramachandran
Vijay Vazirani
Wenke Lee
Barbara J. Grosz
David C. Parkes
David Cox
David M. Brooks
Eddie Kohler
Greg Morrisett
H.T. Kung
Hanspeter Pfister
Harry R. Lewis
James H. Waldo
Jelani Nelson
Jonathan Zittrain
Krzysztof Gajos
Leslie Valiant
Margo I. Seltzer
Michael D. Mitzenmacher
Michael D. Smith
Radhika Nagpal
Ryan P. Adams
Salil P. Vadhan
Stephen Chong
Steven J. Gortler
Stuart M. Shieber
Yaron Singer
Yiling Chen
Adam Lopez
Alexis Battle
Aviel Rubin
Benjamin Langmead
Benjamin Van Durme
David Yarowsky
Giuseppe Ateniese
Gregory Hager
Jason Eisner
Joanne Selinski
Mark Dredze
Matthew Green
Michael Dinitz
Michael Kazhdan
Nassir Navab
Peter Kazanzides
Philipp Koehn
Raman Arora
Randal Burns
Russell Taylor
S. Rao Kosaraju
Scott Smith
Stephen Checkoway
Suchi Saria
Susan Hohenberger
Vladimir Braverman
Xin Li
Yair Amir
Yanif Ahmad
Alan S. Willsky
Albert Meyer
Alexandre Megretski
Anant Agarwal
Andrew Lo
Arvind
Asuman Ozdaglar
Barbara Liskov
Berthold Horn
Bonnie A. Berger
Bruce Tidor
Charles Leiserson
Collin Stultz
Dana Moshkovitz
Daniel Jackson
Daniel Sanchez
Daniela Rus
David Gifford
David Karger
David Perreault
Devavrat Shah
Dina Katabi
Elfar Adalsteinsson
Frederick Hennie III
Fredo Durand
George Verghese
Gerald Sussman
Gregory W. Wornell
Hal Abelson
Hari Balakrishnan
Jacob K. White
Jae Lim
Joel Moses
John Guttag
John Tsitsiklis
Konstantinos Daskalakis
Leslie Kaelbling
Li-Shiuan Peh
Luca Daniel
M. Frans Kaashoek
Madhu Sudan
Manolis Kellis
Martin Rinard
Marvin Minsky
Michael R. Watts
Muriel Medard
Nickolai Zeldovich
Nir Shavit
Pablo Parrilo
Patrick Jaillet
Patrick Winston
Peter Szolovits
Piotr Indyk
Rahul Sarpeshkar
Rajeev Ram
Randall Davis
Regina Barzilay
Rob Miller
Robert Berwick
Robert Morris
Ron Weiss
Ronald Rivest
Ronitt Rubinfeld
Russell Tedrake
Saman Amarasinghe
Samuel Madden
Scott Aaronson
Seth Teller
Shafrira Goldwasser
Silvio Micali
Srini Devadas
Stephen Ward
Tomas Lozano-Perez
Tommi Jaakkola
Victor Zue
Vinod Vaikuntanathan
William Freeman
William Peake
Wojciech Matusik
Yury Polyanskiy
Allan Gottlieb
Benjamin Goldberg
Bhubaneswar Mishra
Chee K. Yap
Christoph Bregler
Clark Barrett
Davi Geiger
David Sontag
Denis Zorin
Dennis Shasha
Ernest Davis
Helen Nissenbaum
Jinyang Li
Joel Spencer
Juliana Freire
Kenneth Perlin
Lakshminarayanan Subramanian
Margaret H. Wright
Mehryar Mohri
Michael L. Overton
Michael Walfish
Mohamed Zahran
Oded Regev
Olof Widlund
Panayotis Mavromatis
Patrick Cousot
Ralph Grishman
Richard Bonneau
Richard Cole
Rob Fergus
Robert Grimm
Subhash Khot
Thomas Wies
Victor Shoup
Yann LeCun
Yevgeniy Dodis
Zvi Kedem
Ben Watson
Blair D. Sullivan
Carla D. Savage
Christopher G. Healey
David L. Roberts
David Sturgill
David Thuente
Dennis R. Bahler
Donald Bitzer
Douglas S. Reeves
Edward Gehringer
Emerson Murphy-Hill
Frank Mueller
George N. Rouskas
