SAMANTHA,0.124,5.504,7
MARION,0.122,5.626,8
DANA,0.122,5.748,9
STACY,0.121,5.869,0
ANA,0.120,5.989,1
RENEE,0.120,6.109,2
IDA,0.118,6.227,3
VIVIAN,0.118,6.346,4
ROBERTA,0.117,6.463,5
HOLLY,0.117,6.580,6
BRITTANY,0.117,6.697,7
MELANIE,0.116,6.813,8
LORETTA,0.115,6.928,9
YOLANDA,0.115,7.043,0
JEANETTE,0.115,7.158,1
LAURIE,0.114,7.271,2
KATIE,0.113,7.385,3
KRISTEN,0.111,7.496,4
VANESSA,0.111,7.607,5
ALMA,0.111,7.718,6
SUE,0.111,7.829,7
ELSIE,0.110,7.939,8
BETH,0.110,8.049,9
JEANNE,0.109,8.158,0
VICKI,0.109,8.267,1
CARLA,0.107,8.374,2
TARA,0.107,8.482,3
ROSEMARY,0.107,8.589,4
EILEEN,0.105,8.694,5
TERRI,0.105,8.799,6
GERTRUDE,0.103,8.902,7
LUCY,0.103,9.005,8
TONYA,0.102,9.107,9
ELLA,0.101,9.208,0
STACEY,0.101,9.308,1
WILMA,0.099,9.408,2
GINA,0.099,9.506,3
KRISTIN,0.099,9.605,4
JESSIE,0.098,9.703,5
NATALIE,0.098,9.801,6
AGNES,0.098,9.899,7
VERA,0.098,9.997,8
WILLIE,0.097,0.094,9
CHARLENE,0.097,0.191,0
BESSIE,0.096,0.287,1
DELORES,0.095,0.382,2
MELINDA,0.094,0.477,3
PEARL,0.094,0.571,4
ARLENE,0.094,0.665,5
MAUREEN,0.092,0.757,6
COLLEEN,0.092,0.849,7
ALLISON,0.092,0.941,8
TAMARA,0.092,1.033,9
JOY,0.091,1.124,0
GEORGIA,0.091,1.215,1
CONSTANCE,0.091,1.305,2
LILLIE,0.090,1.396,3
CLAUDIA,0.090,1.485,4
JACKIE,0.090,1.575,5
MARCIA,0.090,1.665,6
TANYA,0.089,1.754,7
NELLIE,0.089,1.843,8
MINNIE,0.089,1.931,9
MARLENE,0.088,2.020,0
HEIDI,0.088,2.108,1
GLENDA,0.088,2.195,2
LYDIA,0.086,2.281,3
VIOLA,0.086,2.367,4
COURTNEY,0.086,2.453,5
MARIAN,0.086,2.539,6
STELLA,0.085,2.623,7
CAROLINE,0.085,2.708,8
DORA,0.084,2.792,9
