"Jeffrey S. Chase"
"Elizabeth Belding"
"R. Michael Young"
"Benjamin Snyder"
"Andrew Hilton"
"Ben Bederson"
"Randal Bryant"
"P. Sadayappan"
"Milind Tambe"
"Atif Memon"
"Karl Crary"
"Arindam Banerjee"
"Alexey V Onufriev"
"Stuart J. Russell"
"Patrick Thomas Eugster"
"My T. Thai"
"Bobby (Samrat) Bhattacharjee"
"Panos Chrysanthis"
"Janet Kolodner"
"Nick Hopper"
"Hava T Siegelmann"
"Larry Carter"
"Gerald F. DeJong - II"
"Morteza Amir Rahimi"
"Bruce Tidor"
"Greg N. Frederickson"
"Bruce Maggs"
"Davi Geiger"
"Boon Thau Loo"
"Wenke Lee"
"Michael L. Scott"
"Rami Melhem"
"Allen Taflove"
"Karl N. Levitt"
"John Keyser"
"Holly Rushmeier"
"Sudipto Guha"
"James Martin"
"Hanna M. Wallach"
"Joe Zachary"
"Michael R. Watts"
"Clark Barrett"
"Mihalis Yannakakis"
"Samuel N. Kamin"
"Mike Kirby"
"Robert Calderbank"
"James Demmel"
"Abhi Shelat"
"Thomas Schmid"
"Avrim Blum"
"Asuman Ozdaglar"
"J. Alex Halderman"
"Adam Smith"
"Haym Hirsh"
"Eric Roberts"
"Gerhard Fischer"
"Robert Schapire"
"Kamesh Madduri"
"Wyatt Lloyd"
"Csaba J. Egyhazy"
"Carla D. Savage"
"Keith Edwards"
"Augustin Chaintreau"
"Krzysztof Gajos"
"Scott Schaefer"
"Alexander Waibel"
"Christian KA$?stner"
"Martin Farach-Colton"
"James O'Brien"
"Elena Grigorescu"
"Susan Horwitz"
"Bonnie Nardi"
"Ashok Goel"
"Henry M. Levy"
"Peter Scheuermann"
"Alan Borning"
"Vishal Misra"
"Guillermo Sapiro"
"Bilge Mutlu"
"Yang Richard Yang"
"David Thuente"
"Subhasish Mitra"
"Alexandre Megretski"
"Kenneth P. Birman"
"Nalini Venkatasubramanian"
"Richard Martin"
"David Farber"
"Guido Gerig"
