DAN,0.101,0.585,9
LEWIS,0.099,0.684,0
ZACHARY,0.099,0.782,1
COREY,0.098,0.880,2
HERMAN,0.097,0.977,3
MAURICE,0.097,1.074,4
VERNON,0.097,1.171,5
ROBERTO,0.097,1.268,6
CLYDE,0.095,1.363,7
GLEN,0.094,1.457,8
HECTOR,0.094,1.551,9
SHANE,0.093,1.645,0
RICARDO,0.093,1.738,1
SAM,0.092,1.830,2
RICK,0.091,1.921,3
LESTER,0.091,2.011,4
BRENT,0.090,2.102,5
RAMON,0.090,2.192,6
CHARLIE,0.090,2.281,7
TYLER,0.089,2.371,8
GILBERT,0.089,2.460,9
GENE,0.087,2.547,0
MARC,0.087,2.634,1
REGINALD,0.084,2.717,2
RUBEN,0.082,2.800,3
BRETT,0.082,2.882,4
ANGEL,0.082,2.964,5
NATHANIEL,0.081,3.045,6
RAFAEL,0.081,3.126,7
LESLIE,0.081,3.207,8
EDGAR,0.080,3.287,9
MILTON,0.080,3.367,0
RAUL,0.079,3.446,1
BEN,0.078,3.524,2
CHESTER,0.078,3.602,3
CECIL,0.078,3.680,4
DUANE,0.077,3.757,5
FRANKLIN,0.077,3.834,6
ANDRE,0.076,3.910,7
ELMER,0.074,3.984,8
BRAD,0.073,4.057,9
GABRIEL,0.073,4.130,0
RON,0.072,4.202,1
MITCHELL,0.072,4.274,2
ROLAND,0.072,4.347,3
ARNOLD,0.072,4.419,4
HARVEY,0.072,4.491,5
JARED,0.071,4.562,6
ADRIAN,0.069,4.631,7
KARL,0.069,4.699,8
CORY,0.068,4.767,9
CLAUDE,0.068,4.835,0
ERIK,0.068,4.903,1
DARRYL,0.067,4.970,2
JAMIE,0.066,5.037,3
NEIL,0.066,5.102,4
JESSIE,0.065,5.168,5
CHRISTIAN,0.065,5.233,6
JAVIER,0.065,5.297,7
FERNANDO,0.065,5.362,8
CLINTON,0.065,5.427,9
TED,0.064,5.491,0
MATHEW,0.064,5.555,1
TYRONE,0.064,5.619,2
DARREN,0.064,5.683,3
LONNIE,0.064,5.746,4
LANCE,0.063,5.810,5
CODY,0.063,5.873,6
JULIO,0.063,5.936,7
KELLY,0.063,5.998,8
KURT,0.062,6.061,9
ALLAN,0.061,6.122,0
NELSON,0.061,6.182,1
GUY,0.060,6.243,2
CLAYTON,0.060,6.303,3
HUGH,0.060,6.363,4
MAX,0.059,6.421,5
DWAYNE,0.059,6.480,6
DWIGHT,0.058,6.538,7
ARMANDO,0.058,6.596,8
FELIX,0.058,6.654,9
JIMMIE,0.058,6.711,0
EVERETT,0.057,6.768,1
JORDAN,0.056,6.824,2
IAN,0.056,6.880,3
WALLACE,0.056,6.936,4
KEN,0.055,6.991,5
BOB,0.055,7.047,6
JAIME,0.055,7.102,7
CASEY,0.054,7.156,8
ALFREDO,0.054,7.210,9
ALBERTO,0.053,7.263,0
DAVE,0.053,7.316,1
IVAN,0.053,7.369,2
JOHNNIE,0.052,7.421,3
SIDNEY,0.052,7.474,4
BYRON,0.052,7.526,5
JULIAN,0.052,7.578,6
ISAAC,0.051,7.629,7
MORRIS,0.051,7.680,8
CLIFTON,0.050,7.730,9
WILLARD,0.050,7.780,0
DARYL,0.050,7.831,1
ROSS,0.050,7.880,2
VIRGIL,0.049,7.929,3
ANDY,0.049,7.979,4
MARSHALL,0.049,8.028,5
SALVADOR,0.049,8.077,6
PERRY,0.049,8.126,7
KIRK,0.049,8.175,8
SERGIO,0.049,8.224,9
MARION,0.048,8.272,0
TRACY,0.048,8.320,1
SETH,0.048,8.368,2
KENT,0.048,8.416,3
TERRANCE,0.048,8.464,4
RENE,0.048,8.512,5
EDUARDO,0.047,8.559,6
TERRENCE,0.047,8.606,7
ENRIQUE,0.046,8.652,8
FREDDIE,0.046,8.698,9
WADE,0.045,8.743,0
AUSTIN,0.044,8.786,1
STUART,0.044,8.830,2
FREDRICK,0.043,8.873,3
ARTURO,0.043,8.917,4
ALEJANDRO,0.043,8.960,5
JACKIE,0.043,9.002,6
JOEY,0.043,9.045,7
NICK,0.043,9.088,8
LUTHER,0.043,9.130,9
WENDELL,0.042,9.172,0
JEREMIAH,0.042,9.215,1
EVAN,0.042,9.257,2
JULIUS,0.042,9.298,3
DANA,0.042,9.340,4
DONNIE,0.041,9.381,5
OTIS,0.041,9.422,6
SHANNON,0.040,9.462,7
TREVOR,0.040,9.503,8
OLIVER,0.040,9.543,9
LUKE,0.040,9.583,0
HOMER,0.040,9.623,1
GERARD,0.040,9.663,2
DOUG,0.040,9.703,3
KENNY,0.039,9.742,4
HUBERT,0.039,9.782,5
ANGELO,0.039,9.821,6
SHAUN,0.039,9.859,7
LYLE,0.038,9.898,8
MATT,0.038,9.936,9
LYNN,0.038,9.974,0
ALFONSO,0.038,0.012,1
ORLANDO,0.037,0.049,2
REX,0.037,0.086,3
CARLTON,0.037,0.123,4
ERNESTO,0.037,0.160,5
CAMERON,0.037,0.197,6
NEAL,0.037,0.233,7
PABLO,0.036,0.270,8
LORENZO,0.036,0.306,9
OMAR,0.036,0.342,0
WILBUR,0.036,0.378,1
BLAKE,0.036,0.414,2
GRANT,0.036,0.450,3
HORACE,0.036,0.486,4
RODERICK,0.036,0.521,5
KERRY,0.036,0.557,6
ABRAHAM,0.035,0.592,7
WILLIS,0.035,0.627,8
RICKEY,0.035,0.662,9
JEAN,0.035,0.696,0
IRA,0.035,0.731,1
ANDRES,0.034,0.766,2
CESAR,0.034,0.800,3
JOHNATHAN,0.034,0.834,4
MALCOLM,0.034,0.868,5
RUDOLPH,0.034,0.902,6
DAMON,0.034,0.936,7
KELVIN,0.034,0.970,8
RUDY,0.034,1.004,9
PRESTON,0.034,1.037,0
ALTON,0.033,1.071,1
ARCHIE,0.033,1.104,2
MARCO,0.033,1.137,3
WM,0.033,1.170,4
PETE,0.032,1.202,5
RANDOLPH,0.032,1.234,6
GARRY,0.032,1.267,7
GEOFFREY,0.032,1.299,8
JONATHON,0.032,1.331,9
FELIPE,0.032,1.363,0
BENNIE,0.032,1.395,1
GERARDO,0.032,1.427,2
ED,0.032,1.458,3
DOMINIC,0.032,1.490,4
ROBIN,0.032,1.522,5
LOREN,0.032,1.553,6
DELBERT,0.031,1.585,7
COLIN,0.031,1.616,8
GUILLERMO,0.031,1.647,9
EARNEST,0.031,1.678,0
LUCAS,0.031,1.709,1
BENNY,0.030,1.739,2
NOEL,0.030,1.769,3
SPENCER,0.030,1.799,4
RODOLFO,0.030,1.828,5
MYRON,0.030,1.858,6
EDMUND,0.030,1.887,7
GARRETT,0.029,1.917,8
