"Allen ""The Answer"" Iverson","""The Answer""",Allen Iverson
"Jerome ""Pooh"" Richardson","""Pooh""",Jerome Richardson
"Ronald ""Popeye"" Jones","""Popeye""",Ronald Jones
"Shawn ""The Reign Man"" Kemp","""The Reign Man""",Shawn Kemp
"Johnny ""Red"" Kerr","""Red""",Johnny Kerr
"Ephraim ""Red"" J. ""Red"" Rocha","""Red""",Ephraim J. Rocha
"Chuck ""Rifleman"" Person","""Rifleman""",Chuck Person
"Richard ""Rip"" Hamilton","""Rip""",Richard Hamilton
"Šarūnas ""Rooney"" Marčiulionis","""Rooney""",Šarūnas Marčiulionis
"Shaquille ""Shaq"" O'Neal","""Shaq""",Shaquille O'Neal
"Rasheed ""Sheed"" Wallace","""Sheed""",Rasheed Wallace
"Jamaal ""Silk"" Wilkes","""Silk""",Jamaal Wilkes
"Charles ""Sir Charles"" Barkley","""Sir Charles""",Charles Barkley
"Eric ""Sleepy"" Floyd","""Sleepy""",Eric Floyd
"William ""Smush"" Parker","""Smush""",William Parker
"Craig ""Speedy"" Claxton","""Speedy""",Craig Claxton
,"""Spider"" =",
", John Salley United John Salley States John Salley",John Salley,", United States"
", Jerry Sloan United Jerry Sloan States Jerry Sloan",Jerry Sloan,", United States"
"Anthony ""Spud"" Webb","""Spud""",Anthony Webb
"Sidney ""The Squid"" Moncrief","""The Squid""",Sidney Moncrief
"Stephon ""Starbury"" Marbury","""Starbury""",Stephon Marbury
"Norm ""Stormin' Norman"" Van ""Stormin' Norman"" Lier","""Stormin' Norman""",Norm Van Lier
"Gail ""Stumpy"" Goodrich","""Stumpy""",Gail Goodrich
"Nathaniel ""Sweetwater"" Clifton","""Sweetwater""",Nathaniel Clifton
"Tracy ""T-Mac"" McGrady","""T-Mac""",Tracy McGrady
"Dan ""Thunder Dan"" Majerle","""Thunder Dan""",Dan Majerle
"Nate ""Tiny"" Archibald","""Tiny""",Nate Archibald
"Robert ""Tractor"" Traylor","""Tractor""",Robert Traylor
"Wayne ""Tree"" Rollins","""Tree""",Wayne Rollins
"Udonis ""U.D."" Haslem","""U.D.""",Udonis Haslem
"Toni ""The Waiter"" Kukoč","""The Waiter""",Toni Kukoč
"Wilt ""Wilt the Stilt"" Chamberlain","""Wilt the Stilt""",Wilt Chamberlain
,"""The Wizard(s)"" =",
", Gus Williams United Gus Williams States Gus Williams",Gus Williams,", United States"
", Walt Williams United Walt Williams States Walt Williams",Walt Williams,", United States"
"Dennis ""The Worm"" Rodman","""The Worm""",Dennis Rodman
"Xavier ""The X-Man"" McDaniel","""The X-Man""",Xavier McDaniel
"Isiah ""Zeke"" Thomas","""Zeke""",Isiah Thomas
"Jerry ""Zeke from Cabin Creek"" West","""Zeke from Cabin Creek""",Jerry West
