"Panos Chrysanthis"
"Janet Kolodner"
"Tiffani L. Williams"
"Hava T Siegelmann"
"Larry Carter"
"Gerald F. DeJong - II"
"Morteza Amir Rahimi"
"Bruce Tidor"
"Dean Tullsen"
"Greg N. Frederickson"
"Bruce Maggs"
"Davi Geiger"
"David L. Roberts"
"Wenke Lee"
"Michael L. Scott"
"Rami Melhem"
"Allen Taflove"
"Karl N. Levitt"
"John Keyser"
"Holly Rushmeier"
"Sudipto Guha"
"James Martin"
"Hanna M. Wallach"
"Joe Zachary"
"Michael R. Watts"
"Clark Barrett"
"Mihalis Yannakakis"
"Samuel N. Kamin"
"Mike Kirby"
"Robert Calderbank"
"James Demmel"
"Abhi Shelat"
"Thomas Schmid"
"Avrim Blum"
"Asuman Ozdaglar"
"J. Alex Halderman"
"Adam Smith"
"Haym Hirsh"
"Eric Roberts"
"Gerhard Fischer"
"Robert Schapire"
"Kamesh Madduri"
"Wyatt Lloyd"
"Csaba J. Egyhazy"
"Carla D. Savage"
"Keith Edwards"
"Augustin Chaintreau"
"Scott Schaefer"
"Alexander Waibel"
"Christian KA$?stner"
"Martin Farach-Colton"
"James O'Brien"
"Elena Grigorescu"
"Susan Horwitz"
"Bonnie Nardi"
"Ashok Goel"
"Henry M. Levy"
"Peter Scheuermann"
"Alan Borning"
"Vishal Misra"
"Guillermo Sapiro"
"Bilge Mutlu"
"Yang Richard Yang"
"David Thuente"
"Subhasish Mitra"
"Muriel Medard"
"Quentin F. Stout"
"Nalini Venkatasubramanian"
"Alexandre Megretski"
"Richard Martin"
"David Farber"
"Guido Gerig"
"Benjamin C. Lee"
"Duncan M. Walker"
"Tomasz Imielinski"
"Garth Gibson"
"Susan B. Davidson"
"Jim Hendler"
"Jeremy Buhler"
"Kevin Sullivan"
"Val Tannen"
"Ran Canetti"
"Jens Palsberg"
"Chitta Baral"
"Issac D. Scherson"
"John Ousterhout"
"Swarat Chaudhuri"
"Vincent Conitzer"
"Saurabh Sinha"
"Daniele Micciancio"
"David Garlan"
"Leonard Adleman"
"Hal Abelson"
"Mohammad Hajiaghayi"
"Worthy Martin"
"Sanjeev Khanna"
"Alain J. Martin"
"Nickolai Zeldovich"
"Ulrich Neumann"
"Badri Nath"
"Andrea LaPaugh"
"Devin J. Balkcom"
"Vivek Sarkar"
"Dieter Fox"
"Tomas Lozano-Perez"
"Thomas Fletcher"
"Concettina Guerra"
"Jennifer Mankoff"
"Volkan Isler"
"Alessandro Orso"
"Elizabeth Jessup"
"David Alexander Forsyth"
"Pieter Abbeel"
"Lisa Anthony"
"Alan Sussman"
"Patrick Thomas Eugster"
"Scott Jordan"
"Joseph Pasquale"
"Subhash Suri"
"Vinod Ganapathy"
"Don Batory"
"Roy H. Campbell"
"Mary Lou Soffa"
"Geoffrey Voelker"
"Lior Pachter"
"Daniel A. JimA(c)nez"
"Michael Eisenberg"
"John Hannan"
"Tim Roughgarden"
"Roberta Klatzky"
"Susan H. Rodger"
"Klara Nahrstedt"
"John E. Hopcroft"
"Prem Kumar"
"Emery Berger"
"Angelos Keromytis"
"Andrea Arpaci-Dusseau"
"Divyakant Agrawal"
"Robert Daley"
"Ilias Tagkopoulos"
"Cristina V. Lopes"
"Scott Klemmer"
"Randy H. Katz"
"Todd Dupont"
"Roger Chamberlain"
"Derek W. Hoiem"
"Yuriy Brun"
"Samuel Madden"
"Alex Endert"
"Brian Nelson"
"Annie AntA3n"
"Michael Littman"
"Ananth Grama"
"Laurie Williams"
"Xianghong Jasmine Zhou"
"Aniket Kittur"
"Aviral Shrivastava"
"DeLiang Wang"
"Adrien Treuille"
"Jonathan Shewchuk"
"Dylan Shell"
"Beki Grinter"
"Alan Yuille"
"Chris Manning"
"Chris Atkeson"
"Janos Simon"
"Rajeev Alur"
"Henry Hoffmann"
"Shwetak Patel"
"James Anderson"
"Cynthia Sturton"
"Anind Dey"
"Elisa Bertino"
"Michael Collins"
"Radu Stoleru"
"Bradley Calder"
"Trey Ideker"
"Jimeng Sun"
"Luis Rademacher"
"Matt Mason"
"Garrison Cottrell"
"Chee K. Yap"
"Stuart M. Shieber"
"Betsy DiSalvo"
"Julie Dorsey"
"James Hays"
"Ziv Bar-Joseph"
"Ellen Zegura"
"Aditya Akella"
"Dan Rubenstein"
"Michael Kifer"
"Steven Dow"
"Peter Schroeder"
"Stephen McCamant"
"Henry Kautz"
"Charles Elkan"
"Brian L. Curless"
"Jianbo Shi"
"Tyson Condie"
"Richard Wolski"
"David Kempe"
"Pete Keleher"
"Andrew Moore"
"Michael Franklin"
"Viktor Gruev"
"Samuel T. King"
"Barbara Ryder"
"Marco Caccamo"
"Roger King"
"Susanne Hambrusch"
"Adam Klivans"
"Ronald Rivest"
"J. Andrew (Drew) Bagnell"
"Mani Srivastava"
"Leonard McMillan"
"Francois Gygi"
"Amitabh Varshney"
"Johannes Gehrke"
"Ting Yu"
"Aiichiro Nakano"
"Petros Drineas"
"Ugur Cetintemel"
"Kenneth Perlin"
"Michael Ferdman"
"David Laidlaw"
"Ling Liu"
